2025-07-24T01:26:23.655093968Z 01:26:23 |  INFO | main: [FUNCIONALIDAD] Nueva llamada entrante (POST /twilio-voice)
2025-07-24T01:26:23.655132699Z 01:26:23 |  INFO | main: [LATENCIA] Respuesta TwiML generada en 0.0 ms
2025-07-24T01:26:23.715455037Z 01:26:23 |  INFO | main: [FUNCIONALIDAD] WebSocket /twilio-websocket aceptado
2025-07-24T01:26:23.715476108Z 01:26:23 |  INFO | twilio_handler: 📞 TwilioHandler inicializado
2025-07-24T01:26:23.715545969Z 01:26:23 |  INFO | integration_manager: 🔌 IntegrationManager inicializado
2025-07-24T01:26:23.715680092Z 01:26:23 |  INFO | call_orchestrator: ✅ Audio de espera cargado (11960 bytes)
2025-07-24T01:26:23.715725624Z 01:26:23 |  INFO | call_orchestrator: 🎭 CallOrchestrator inicializado
2025-07-24T01:26:23.715742524Z 01:26:23 |  INFO | call_orchestrator: [FUNCIONALIDAD] Nueva llamada entrante
2025-07-24T01:26:23.715811275Z 01:26:23 |  INFO | call_orchestrator: 📦 Pre-cargando datos...
2025-07-24T01:26:23.716277026Z 01:26:23 |  INFO | buscarslot: ⏳ Cargando slots libres desde Google Calendar…
2025-07-24T01:26:23.716420419Z 01:26:23 |  INFO | utils: 🔍 Inicializando Google Calendar...
2025-07-24T01:26:23.718116878Z 01:26:23 |  INFO | googleapiclient.discovery_cache: file_cache is only supported with oauth2client<4.0.0
2025-07-24T01:26:24.015594996Z 01:26:24 |  INFO | buscarslot: ✅ Slots libres precargados (90 días)
2025-07-24T01:26:24.015836102Z 01:26:24 |  INFO | call_orchestrator: ✅ Datos pre-cargados
2025-07-24T01:26:24.015891973Z 01:26:24 |  INFO | twilio_handler: 🔧 Handlers configurados
2025-07-24T01:26:24.015901403Z 01:26:24 |  INFO | twilio_handler: [FUNCIONALIDAD] Nueva conexión WebSocket entrante de Twilio
2025-07-24T01:26:24.016097157Z INFO:     ('44.201.114.143', 0) - "WebSocket /twilio-websocket" [accepted]
2025-07-24T01:26:24.016237201Z 01:26:24 |  INFO | twilio_handler: ✅ WebSocket aceptado
2025-07-24T01:26:24.016284242Z 01:26:24 |  INFO | twilio_handler: 🔄 Iniciando loop de recepción
2025-07-24T01:26:24.016757903Z INFO:     connection open
2025-07-24T01:26:24.021790718Z 01:26:24 |  INFO | twilio_handler: ✅ Twilio confirmó conexión establecida
2025-07-24T01:26:24.021838559Z 01:26:24 |  INFO | twilio_handler: [LATENCIA] Evento 'connected' procesado en 0.1 ms
2025-07-24T01:26:24.021968532Z 01:26:24 |  INFO | twilio_handler: 🏁 Stream iniciado - StreamSID: MZ6ea1dcdf85714087f146c029541ccda0, CallSID: CAbd607a7bdbc8f2be4345038927389275
2025-07-24T01:26:24.022002092Z 01:26:24 |  INFO | call_orchestrator: 🏁 Stream iniciado - CallSID: CAbd607a7bdbc8f2be4345038927389275, StreamSID: MZ6ea1dcdf85714087f146c029541ccda0
2025-07-24T01:26:24.022014973Z 01:26:24 |  INFO | call_orchestrator: 🔧 Inicializando componentes de la llamada...
2025-07-24T01:26:24.022105605Z 01:26:24 |  INFO | call_orchestrator: 🎵 Inicializando AudioManager...
2025-07-24T01:26:24.022148366Z 01:26:24 |  INFO | audio_manager: 🎵 AudioManager creado para stream: MZ6ea1dcdf85714087f146c029541ccda0
2025-07-24T01:26:24.022156646Z 01:26:24 |  INFO | call_orchestrator: 🗣️ Inicializando ConversationFlow...
2025-07-24T01:26:24.022242498Z 01:26:24 |  INFO | conversation_flow: 🗣️ ConversationFlow creado para sesión: CAbd607a7bdbc8f2be4345038927389275
2025-07-24T01:26:24.022271729Z 01:26:24 |  INFO | call_orchestrator: ✅ ConversationFlow inicializado
2025-07-24T01:26:24.02231702Z 01:26:24 |  INFO | call_orchestrator: 🎤 Inicializando STT...
2025-07-24T01:26:24.024624372Z 01:26:24 |  INFO | audio_manager: 🎤 Iniciando Deepgram STT...
2025-07-24T01:26:24.024867528Z 01:26:24 |  INFO | deepgram_stt_streamer: Intentando CONECTAR con Deepgram...
